"sample_flow_rate"	"sample_volume"	"record_sample_volume"	"mixing_volume"	"mixing_speed"	"number_mixes"	"wash_volume"	"tube.name"	"plate.num"	"samp_id"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"C2"	"Plate_002"	"170705-Plate_002.C2"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"C3"	"Plate_002"	"170705-Plate_002.C3"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"C4"	"Plate_002"	"170705-Plate_002.C4"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"C5"	"Plate_002"	"170705-Plate_002.C5"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"C6"	"Plate_002"	"170705-Plate_002.C6"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"C7"	"Plate_002"	"170705-Plate_002.C7"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"C8"	"Plate_002"	"170705-Plate_002.C8"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"C9"	"Plate_002"	"170705-Plate_002.C9"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"C10"	"Plate_002"	"170705-Plate_002.C10"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"C11"	"Plate_002"	"170705-Plate_002.C11"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"C12"	"Plate_002"	"170705-Plate_002.C12"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"D1"	"Plate_002"	"170705-Plate_002.D1"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"D2"	"Plate_002"	"170705-Plate_002.D2"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"D3"	"Plate_002"	"170705-Plate_002.D3"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"D4"	"Plate_002"	"170705-Plate_002.D4"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"D5"	"Plate_002"	"170705-Plate_002.D5"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"D6"	"Plate_002"	"170705-Plate_002.D6"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"D7"	"Plate_002"	"170705-Plate_002.D7"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"D8"	"Plate_002"	"170705-Plate_002.D8"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"D9"	"Plate_002"	"170705-Plate_002.D9"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"D10"	"Plate_002"	"170705-Plate_002.D10"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"D11"	"Plate_002"	"170705-Plate_002.D11"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"D12"	"Plate_002"	"170705-Plate_002.D12"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"E1"	"Plate_002"	"170705-Plate_002.E1"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"E2"	"Plate_002"	"170705-Plate_002.E2"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"E3"	"Plate_002"	"170705-Plate_002.E3"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"E4"	"Plate_002"	"170705-Plate_002.E4"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"E5"	"Plate_002"	"170705-Plate_002.E5"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"E6"	"Plate_002"	"170705-Plate_002.E6"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"E7"	"Plate_002"	"170705-Plate_002.E7"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"E8"	"Plate_002"	"170705-Plate_002.E8"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"E9"	"Plate_002"	"170705-Plate_002.E9"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"E10"	"Plate_002"	"170705-Plate_002.E10"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"E11"	"Plate_002"	"170705-Plate_002.E11"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"E12"	"Plate_002"	"170705-Plate_002.E12"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"F1"	"Plate_002"	"170705-Plate_002.F1"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"F2"	"Plate_002"	"170705-Plate_002.F2"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"F3"	"Plate_002"	"170705-Plate_002.F3"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"F4"	"Plate_002"	"170705-Plate_002.F4"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"F5"	"Plate_002"	"170705-Plate_002.F5"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"F6"	"Plate_002"	"170705-Plate_002.F6"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"F7"	"Plate_002"	"170705-Plate_002.F7"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"F8"	"Plate_002"	"170705-Plate_002.F8"
