yfp.min	yfp.5th	yfp.25th	yfp.median	yfp.75th	yfp.95th	yfp.max	yfp.mean	yfp.variance	fracon	mean.norm.fsc	var.norm.fsc	N	mean.on.fraction	var.on.fraction	cells.per.sec	dip.stat	dip.pval	mean.fsc	median.fsc	mean.ssc	median.ssc	FITC.saturation.corrected	pct.oversaturation	(-0.5,-0.447]	(-0.447,-0.393]	(-0.393,-0.34]	(-0.34,-0.287]	(-0.287,-0.233]	(-0.233,-0.18]	(-0.18,-0.127]	(-0.127,-0.0733]	(-0.0733,-0.02]	(-0.02,0.0333]	(0.0333,0.0867]	(0.0867,0.14]	(0.14,0.193]	(0.193,0.247]	(0.247,0.3]	(0.3,0.353]	(0.353,0.407]	(0.407,0.46]	(0.46,0.513]	(0.513,0.567]	(0.567,0.62]	(0.62,0.673]	(0.673,0.727]	(0.727,0.78]	(0.78,0.833]	(0.833,0.887]	(0.887,0.94]	(0.94,0.993]	(0.993,1.05]	(1.05,1.1]	(1.1,1.15]	(1.15,1.21]	(1.21,1.26]	(1.26,1.31]	(1.31,1.37]	(1.37,1.42]	(1.42,1.47]	(1.47,1.53]	(1.53,1.58]	(1.58,1.63]	(1.63,1.69]	(1.69,1.74]	(1.74,1.79]	(1.79,1.85]	(1.85,1.9]	(1.9,1.95]	(1.95,2.01]	(2.01,2.06]	(2.06,2.11]	(2.11,2.17]	(2.17,2.22]	(2.22,2.27]	(2.27,2.33]	(2.33,2.38]	(2.38,2.43]	(2.43,2.49]	(2.49,2.54]	(2.54,2.59]	(2.59,2.65]	(2.65,2.7]	samp_id
-182	-46.2000007629395	12.5999994277954	58.7999992370605	120.400001525879	14488.9499511719	72116.796875	1821.29735769957	36124053.3691346	0.11949069539667	0.52071304054169	2.72968125755391	6126	14861.168056759	109269573.069248	17055.4161843829	0.0316672334842849	0	3650.15148547176	3550	4512.04040533322	4300.09985351562	0	0	0	0	0	0	0	0	0	3	310	3382	1633	66	5	1	3	4	6	9	8	8	10	14	13	29	34	22	37	40	45	50	45	57	53	47	40	43	29	30	26	7	8	5	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.C6
-187.599990844727	-54.5999984741211	1.39999997615814	39.2000007629395	84	156.800003051758	343	44.0715621408429	4174.78570513188	0	0.0124756333051375	0.000449224919179272	6277	NA	NA	16382.8254099194	0.00816023738872404	0.0383089954317926	3705.23092241517	3577.5	4514.25877014034	4292.39990234375	0	0	0	0	0	0	0	0	0	3	447	4140	1633	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.C7
-176.399993896484	-53.2000007629395	2.79999995231628	44.7999992370605	91	168	452.199981689453	49.2939902892752	4589.73556656558	0.000158127767235927	0.0137323917443326	0.000462289727804806	6324	452.199981689453	NA	17392.1468974439	0.00676097358019555	0.163843629264471	3755.95762175838	3695	4503.67750065784	4307.7998046875	0	0	0	0	0	0	0	0	0	3	423	3961	1857	79	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.C8
-177.800003051758	-51.7999992370605	2.79999995231628	42	88.1999969482422	158.199996948242	499.799987792969	46.9473810541904	4371.74145588053	0.000638569604086846	0.0132858031373074	0.000447961051659393	6264	458.849990844727	1534.51656697597	17462.4883838511	0.00769125505541626	0.0621756570931966	3606.38880906769	3544	4338.7112270857	4136.30004882812	0	0	0	0	0	0	0	0	0	3	392	4043	1753	69	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.C9
-165.199996948242	96.5999984741211	18078.5498046875	26308.7998046875	37683.4482421875	60657.3794921875	133897.390625	28923.0908293049	279280863.032672	0.936920222634508	9.52771964818345	19.2390073318418	6468	30867.51110301	238140434.717928	18698.0720384016	0.0101762470023823	0.000160086519580771	3300.94604205319	3217	4320.90706531192	4141.89990234375	0	0	0	0	0	0	0	0	0	1	39	250	110	8	1	1	1	1	2	2	1	1	0	0	1	2	2	1	13	14	51	128	192	259	362	457	565	601	554	634	522	495	376	296	210	158	89	42	18	4	3	1	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.D1
-604.799987792969	-61.5999984741211	8.39999961853027	50.3999977111816	95.1999969482422	178.919998168946	35704.19921875	76.9070646864823	594381.577388417	0.00325064157399487	0.021912523495849	0.0821138035404447	5845	8023.39989431281	124099676.651946	14023.0473004361	0.0073876140530266	0.100711105018162	3991.3373823781	3889	4743.71872101222	4524.7998046875	0	0	0	1	2	4	6	6	14	21	388	3473	1820	91	3	0	2	0	1	3	1	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.D2
-169.399993896484	-49	5.59999990463257	44.7999992370605	91	163.800003051758	12479.599609375	55.3492762137703	41917.7926852859	0.00267127592708988	0.0174088849080506	0.00265020480670357	6364	2399.76465023265	9167867.31132749	17262.8595081067	0.00822922820239233	0.0281910674025772	3515.58980201131	3410.25	4562.5185268745	4345.60009765625	0	0	0	0	0	0	0	0	0	2	366	4082	1839	58	1	5	1	2	2	0	0	2	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.D3
-141.399993896484	50.3999977111816	8619.44970703125	16877.69921875	28039.8989257812	47704.5091796875	122463.6015625	19452.9201345517	231164626.163329	0.894975031210986	5.52035427087642	14.8413818780023	6408	21726.5034390889	209067982.781537	16956.2153113658	0.00412014567263726	0.753919706781768	3789.11001872659	3684.5	4562.42645088415	4353.30004882812	0	0	0	0	0	0	0	0	0	0	40	363	194	73	79	56	66	50	31	35	24	24	23	31	42	57	62	89	137	164	219	251	340	386	427	399	426	398	388	376	316	274	237	159	89	40	28	10	3	1	1	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.D4
-308	-49	2.79999995231628	43.3999977111816	85.4000015258789	157.430000305176	18544.400390625	53.3846362578742	77913.3931726387	0.00125156445556946	0.0167293627468488	0.011634163128448	6392	5313.17499923706	35696332.4694779	16879.6016564878	0.0070686716254485	0.1112070772904	3579.87327909887	3496.75	4495.8022681512	4305	0	0	0	0	0	0	0	0	2	4	368	4219	1727	63	3	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.D5
-183.399993896484	104.509999465942	17425.4501953125	25524.7998046875	37206.048828125	56201.458203125	144403	27926.7558342737	251454980.96789	0.939284593661751	9.20555403208356	27.1394439429571	6374	29729.035257717	214203476.490088	17748.252272492	0.00959245455994506	0.000530502338500827	3411.10197678067	3315.25	4440.928415165	4256	0	0	0	0	0	0	0	0	0	1	35	250	90	10	5	3	6	5	5	1	1	0	0	0	1	3	4	3	8	36	68	117	222	307	367	494	562	554	534	546	526	450	458	311	191	103	55	28	9	3	1	1	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.D6
-379.399993896484	8.39999961853027	6909.69995117188	15906.7998046875	26369.7001953125	45778.4578125	98252	17994.0051387623	214808917.938369	0.843020523264922	5.02835787623102	12.9622623836948	6383	21333.999405636	183737202.835939	16103.622446751	0.0123951973255154	3.91648331943273e-06	3822.61945793514	3772.5	4579.94320595998	4368	0	0	0	0	0	0	0	1	1	5	95	588	242	70	51	46	37	28	22	25	15	23	16	30	44	66	68	98	118	156	208	274	329	374	395	412	439	382	386	363	302	228	168	128	90	36	15	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.D7
-1180.19995117188	-85.4000015258789	0	42	86.7999954223633	158.199996948242	29485.400390625	51.9437890528494	425932.08252233	0.00238853503184713	0.00932118284639598	0.0844744826378915	6280	8297.98657836914	112901633.804768	17085.5096136405	0.00723493565870501	0.109887920268969	3345.06576433121	3256	4416.77186794402	4225.89990234375	0	0	5	9	17	19	37	30	42	38	402	3883	1716	57	2	2	2	0	1	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.D8
-144.199996948242	-44.7999992370605	7	44.7999992370605	88.1999969482422	158.199996948242	396.199981689453	49.7052247044273	3900.40701290199	0.00015552099533437	0.0168385822280204	0.000699899996882787	6430	396.199981689453	NA	17472.6775159502	0.00835700578180051	0.0197393462900456	3323.87037325039	3239	4315.97544476878	4156.60009765625	0	0	0	0	0	0	0	0	0	0	311	4231	1832	55	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.D9
-159.599990844727	-42	14	58.7999992370605	120.400001525879	22867.5303710937	69963.6015625	2955.69794365859	74233708.0649154	0.144984326018809	1.15913675080268	16.3229639689318	6380	20092.5574975916	168620068.836745	18617.0558483574	0.0415371494485211	0	3140.2934169279	3011.5	4204.24776680208	4044.59985351562	0	0	0	0	0	0	0	0	0	1	283	3571	1534	66	13	5	9	4	6	4	6	2	8	9	10	13	13	21	19	36	39	48	56	55	72	67	75	67	55	58	53	40	24	21	11	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.E1
-239.399993896484	-50.3999977111816	7	50.3999977111816	93.7999954223633	168	407.399993896484	52.9117638017473	4540.60998009352	0.000330469266358229	0.0140539271937622	0.000478865525184003	6052	399.699996948242	118.579906005878	14959.4133377311	0.00729334968844009	0.0944367300198191	3863.5547752809	3797	4720.53828707517	4539.49975585938	0	0	0	0	0	0	0	0	0	11	346	3741	1887	65	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.E2
